0.455, 3.72072 -1.92146 -49.0673, 0 -0  0, 0 -0  0, 3.63905 -2.27491 -41.3282
0.456, 3.72072 -1.92146 -49.0673, 0 -0  0, 0 -0  0, 3.63905 -2.27491 -41.3282
0.463, 3.72072 -1.92146 -49.0673, 0 -0  0, 0 -0  0, 3.63905 -2.27491 -41.3282
0.464, 3.72072 -1.92146 -49.0673, 0 -0  0, 0 -0  0, 3.63905 -2.27491 -41.3282
0.466, 3.72072 -1.92146 -49.0673, 0 -0  0, 0 -0  0, 3.63905 -2.27491 -41.3282
0.467, 3.72072 -1.92146 -49.0673, 0 -0  0, 0 -0  0, 3.63905 -2.27491 -41.3282
0.468, 3.72072 -1.92146 -49.0673, 0 -0  0, 0 -0  0, 3.63905 -2.27491 -41.3282
0.47, 3.72072 -1.92146 -49.0673, 0 -0  0, 0 -0  0, 3.63905 -2.27491 -41.3282
0.474, 4.30648 -3.94151 -55.8535, 0 -0  0, 0 -0  0,  3.6765 -4.79221  -57.198
0.476, 4.30648 -3.94151 -55.8535, 0 -0  0, 0 -0  0,  3.6765 -4.79221  -57.198
0.483, 4.30648 -3.94151 -55.8535, 0 -0  0, 0 -0  0,  3.6765 -4.79221  -57.198
0.485, 4.30648 -3.94151 -55.8535, 0 -0  0, 0 -0  0,  3.6765 -4.79221  -57.198
0.487, 4.30648 -3.94151 -55.8535, 0 -0  0, 0 -0  0,  3.6765 -4.79221  -57.198
0.49, 4.30648 -3.94151 -55.8535, 0 -0  0, 0 -0  0,  3.6765 -4.79221  -57.198
0.492, 4.30648 -3.94151 -55.8535, 0 -0  0, 0 -0  0,  3.6765 -4.79221  -57.198
0.494, 4.30648 -3.94151 -55.8535, 0 -0  0, 0 -0  0,  3.6765 -4.79221  -57.198
0.496, 4.30648 -3.94151 -55.8535, 0 -0  0, 0 -0  0,  3.6765 -4.79221  -57.198
0.499, 4.30648 -3.94151 -55.8535, 0 -0  0, 0 -0  0,  3.6765 -4.79221  -57.198
0.501, 4.30648 -3.94151 -55.8535, 0 -0  0, 0 -0  0,  3.6765 -4.79221  -57.198
0.506, 4.30648 -3.94151 -55.8535, 0 -0  0, 0 -0  0,  3.6765 -4.79221  -57.198
