0,0 0 0,1 1 0,0 0 0,0 0 1
0.444, 0 -0  0,  1.10383 -0.460115  -42.5802,  1.22875 -0.629618  -44.6416, 0 -0  0
0.445, 0 -0  0,  1.10383 -0.460115  -42.5802,  1.22875 -0.629618  -44.6416, 0 -0  0
0.446, 0 -0  0,  1.10383 -0.460115  -42.5802,  1.22875 -0.629618  -44.6416, 0 -0  0
0.456, 0 -0  0,  1.10383 -0.460115  -42.5802,  1.22875 -0.629618  -44.6416, 0 -0  0
0.459, 2.56977 -1.39947 -47.7588, 0 -0  0, 0 -0  0, 2.71271 -1.17253 -43.5025
0.46, 2.56977 -1.39947 -47.7588, 0 -0  0, 0 -0  0, 2.71271 -1.17253 -43.5025
0.461, 2.56977 -1.39947 -47.7588, 0 -0  0, 0 -0  0, 2.71271 -1.17253 -43.5025
0.462, 2.56977 -1.39947 -47.7588, 0 -0  0, 0 -0  0, 2.71271 -1.17253 -43.5025
0.463, 2.56977 -1.39947 -47.7588, 0 -0  0, 0 -0  0, 2.71271 -1.17253 -43.5025
0.465, 2.56977 -1.39947 -47.7588, 0 -0  0, 0 -0  0, 2.71271 -1.17253 -43.5025
0.465, 2.56977 -1.39947 -47.7588, 0 -0  0, 0 -0  0, 2.71271 -1.17253 -43.5025
0.472, 2.56977 -1.39947 -47.7588, 0 -0  0, 0 -0  0, 2.71271 -1.17253 -43.5025
0.473, 2.56977 -1.39947 -47.7588, 0 -0  0, 0 -0  0, 2.71271 -1.17253 -43.5025
0.474, 2.56977 -1.39947 -47.7588, 0 -0  0, 0 -0  0, 2.71271 -1.17253 -43.5025
0.476, 2.56977 -1.39947 -47.7588, 0 -0  0, 0 -0  0, 2.71271 -1.17253 -43.5025
0.477, 2.56977 -1.39947 -47.7588, 0 -0  0, 0 -0  0, 2.71271 -1.17253 -43.5025
0.477, 2.56977 -1.39947 -47.7588, 0 -0  0, 0 -0  0, 2.71271 -1.17253 -43.5025
0.481,  3.44647 -0.731003  -53.8613, 0 -0  0, 0 -0  0, 2.03817 -2.58832 -51.7949
0.482,  3.44647 -0.731003  -53.8613, 0 -0  0, 0 -0  0, 2.03817 -2.58832 -51.7949
0.489,  3.44647 -0.731003  -53.8613, 0 -0  0, 0 -0  0, 2.03817 -2.58832 -51.7949
0.49,  3.44647 -0.731003  -53.8613, 0 -0  0, 0 -0  0, 2.03817 -2.58832 -51.7949
0.491,  3.44647 -0.731003  -53.8613, 0 -0  0, 0 -0  0, 2.03817 -2.58832 -51.7949
0.492,  3.44647 -0.731003  -53.8613, 0 -0  0, 0 -0  0, 2.03817 -2.58832 -51.7949
0.493,  3.44647 -0.731003  -53.8613, 0 -0  0, 0 -0  0, 2.03817 -2.58832 -51.7949
0.494,  3.44647 -0.731003  -53.8613, 0 -0  0, 0 -0  0, 2.03817 -2.58832 -51.7949
0.495,  3.44647 -0.731003  -53.8613, 0 -0  0, 0 -0  0, 2.03817 -2.58832 -51.7949
0.496,  3.44647 -0.731003  -53.8613, 0 -0  0, 0 -0  0, 2.03817 -2.58832 -51.7949
0.506,  3.44647 -0.731003  -53.8613, 0 -0  0, 0 -0  0, 2.03817 -2.58832 -51.7949
0.507,  3.44647 -0.731003  -53.8613, 0 -0  0, 0 -0  0, 2.03817 -2.58832 -51.7949
0.508,  3.44647 -0.731003  -53.8613, 0 -0  0, 0 -0  0, 2.03817 -2.58832 -51.7949
0.511,  1.70845 -0.839655  -50.3399,0 0 0,0 0 0, 1.28848 -1.36328 -48.5943
0.512,  1.70845 -0.839655  -50.3399,0 0 0,0 0 0, 1.28848 -1.36328 -48.5943
0.513,  1.70845 -0.839655  -50.3399,0 0 0,0 0 0, 1.28848 -1.36328 -48.5943
0.514,  1.70845 -0.839655  -50.3399,0 0 0,0 0 0, 1.28848 -1.36328 -48.5943
0.515,  1.70845 -0.839655  -50.3399,0 0 0,0 0 0, 1.28848 -1.36328 -48.5943
0.523,  1.70845 -0.839655  -50.3399,0 0 0,0 0 0, 1.28848 -1.36328 -48.5943
0.524,  1.70845 -0.839655  -50.3399,0 0 0,0 0 0, 1.28848 -1.36328 -48.5943
0.525,  1.70845 -0.839655  -50.3399,0 0 0,0 0 0, 1.28848 -1.36328 -48.5943
0.526,  1.70845 -0.839655  -50.3399,0 0 0,0 0 0, 1.28848 -1.36328 -48.5943
0.527,  1.70845 -0.839655  -50.3399,0 0 0,0 0 0, 1.28848 -1.36328 -48.5943
0.528,  1.70845 -0.839655  -50.3399,0 0 0,0 0 0, 1.28848 -1.36328 -48.5943
0.528,  1.70845 -0.839655  -50.3399,0 0 0,0 0 0, 1.28848 -1.36328 -48.5943
0.529,  1.70845 -0.839655  -50.3399,0 0 0,0 0 0, 1.28848 -1.36328 -48.5943
0.539, 0.631119 -0.706863  -46.3692,0 0 0,0 0 0, 0.761491 -0.516936  -45.9062
0.54, 0.631119 -0.706863  -46.3692,0 0 0,0 0 0, 0.761491 -0.516936  -45.9062
0.542, 0.631119 -0.706863  -46.3692,0 0 0,0 0 0, 0.761491 -0.516936  -45.9062
0.543, 0.631119 -0.706863  -46.3692,0 0 0,0 0 0, 0.761491 -0.516936  -45.9062
0.543, 0.631119 -0.706863  -46.3692,0 0 0,0 0 0, 0.761491 -0.516936  -45.9062
0.544, 0.631119 -0.706863  -46.3692,0 0 0,0 0 0, 0.761491 -0.516936  -45.9062
0.545, 0.631119 -0.706863  -46.3692,0 0 0,0 0 0, 0.761491 -0.516936  -45.9062
0.546, 0.631119 -0.706863  -46.3692,0 0 0,0 0 0, 0.761491 -0.516936  -45.9062
0.556, 0.631119 -0.706863  -46.3692,0 0 0,0 0 0, 0.761491 -0.516936  -45.9062
0.557, 0.631119 -0.706863  -46.3692,0 0 0,0 0 0, 0.761491 -0.516936  -45.9062
0.558, 0.631119 -0.706863  -46.3692,0 0 0,0 0 0, 0.761491 -0.516936  -45.9062
0.559, 0.631119 -0.706863  -46.3692,0 0 0,0 0 0, 0.761491 -0.516936  -45.9062
0.56, 0.631119 -0.706863  -46.3692,0 0 0,0 0 0, 0.761491 -0.516936  -45.9062
0.563, 0.569376 -0.231299  -42.5253,0 0 0,0 0 0, 0.794221 0.0527292  -43.3561
0.564, 0.569376 -0.231299  -42.5253,0 0 0,0 0 0, 0.794221 0.0527292  -43.3561
0.565, 0.569376 -0.231299  -42.5253,0 0 0,0 0 0, 0.794221 0.0527292  -43.3561
0.573, 0.569376 -0.231299  -42.5253,0 0 0,0 0 0, 0.794221 0.0527292  -43.3561
0.574, 0.569376 -0.231299  -42.5253,0 0 0,0 0 0, 0.794221 0.0527292  -43.3561
0.575, 0.569376 -0.231299  -42.5253,0 0 0,0 0 0, 0.794221 0.0527292  -43.3561
0.576, 0.569376 -0.231299  -42.5253,0 0 0,0 0 0, 0.794221 0.0527292  -43.3561
