0.416, 0 -0  0,   1.0525 -0.480678  -42.6408,  1.22356 -0.698754  -44.2488, 0 -0  0
0.418, 0 -0  0,   1.0525 -0.480678  -42.6408,  1.22356 -0.698754  -44.2488, 0 -0  0
0.419, 0 -0  0,   1.0525 -0.480678  -42.6408,  1.22356 -0.698754  -44.2488, 0 -0  0
0.42, 0 -0  0,   1.0525 -0.480678  -42.6408,  1.22356 -0.698754  -44.2488, 0 -0  0
0.426, 0 -0  0,   1.0525 -0.480678  -42.6408,  1.22356 -0.698754  -44.2488, 0 -0  0
0.427, 0 -0  0,   1.0525 -0.480678  -42.6408,  1.22356 -0.698754  -44.2488, 0 -0  0
0.428, 0 -0  0,   1.0525 -0.480678  -42.6408,  1.22356 -0.698754  -44.2488, 0 -0  0
0.43, 0 -0  0,   1.0525 -0.480678  -42.6408,  1.22356 -0.698754  -44.2488, 0 -0  0
0.431, 0 -0  0,   1.0525 -0.480678  -42.6408,  1.22356 -0.698754  -44.2488, 0 -0  0
0.432, 0 -0  0,   1.0525 -0.480678  -42.6408,  1.22356 -0.698754  -44.2488, 0 -0  0
0.433, 0 -0  0,   1.0525 -0.480678  -42.6408,  1.22356 -0.698754  -44.2488, 0 -0  0
0.434, 0 -0  0,   1.0525 -0.480678  -42.6408,  1.22356 -0.698754  -44.2488, 0 -0  0
0.443, 0 -0  0,   1.0525 -0.480678  -42.6408,  1.22356 -0.698754  -44.2488, 0 -0  0
0.446, 2.42978 -1.46592 -47.6652, 0 -0  0, 0 -0  0, 2.63232 -1.17953 -43.6344
0.447, 2.42978 -1.46592 -47.6652, 0 -0  0, 0 -0  0, 2.63232 -1.17953 -43.6344
0.448, 2.42978 -1.46592 -47.6652, 0 -0  0, 0 -0  0, 2.63232 -1.17953 -43.6344
0.449, 2.42978 -1.46592 -47.6652, 0 -0  0, 0 -0  0, 2.63232 -1.17953 -43.6344
0.45, 2.42978 -1.46592 -47.6652, 0 -0  0, 0 -0  0, 2.63232 -1.17953 -43.6344
0.451, 2.42978 -1.46592 -47.6652, 0 -0  0, 0 -0  0, 2.63232 -1.17953 -43.6344
0.452, 2.42978 -1.46592 -47.6652, 0 -0  0, 0 -0  0, 2.63232 -1.17953 -43.6344
0.459, 2.42978 -1.46592 -47.6652, 0 -0  0, 0 -0  0, 2.63232 -1.17953 -43.6344
0.461, 2.42978 -1.46592 -47.6652, 0 -0  0, 0 -0  0, 2.63232 -1.17953 -43.6344
0.462, 2.42978 -1.46592 -47.6652, 0 -0  0, 0 -0  0, 2.63232 -1.17953 -43.6344
0.463, 2.42978 -1.46592 -47.6652, 0 -0  0, 0 -0  0, 2.63232 -1.17953 -43.6344
0.464, 2.42978 -1.46592 -47.6652, 0 -0  0, 0 -0  0, 2.63232 -1.17953 -43.6344
0.465, 2.42978 -1.46592 -47.6652, 0 -0  0, 0 -0  0, 2.63232 -1.17953 -43.6344
0.477,  3.42157 -0.722605  -53.9085, 0 -0  0, 0 -0  0, 1.85605 -2.67536 -52.1892
0.479,  3.42157 -0.722605  -53.9085, 0 -0  0, 0 -0  0, 1.85605 -2.67536 -52.1892
0.48,  3.42157 -0.722605  -53.9085, 0 -0  0, 0 -0  0, 1.85605 -2.67536 -52.1892
0.481,  3.42157 -0.722605  -53.9085, 0 -0  0, 0 -0  0, 1.85605 -2.67536 -52.1892
0.482,  3.42157 -0.722605  -53.9085, 0 -0  0, 0 -0  0, 1.85605 -2.67536 -52.1892
0.483,  3.42157 -0.722605  -53.9085, 0 -0  0, 0 -0  0, 1.85605 -2.67536 -52.1892
0.484,  3.42157 -0.722605  -53.9085, 0 -0  0, 0 -0  0, 1.85605 -2.67536 -52.1892
0.485,  3.42157 -0.722605  -53.9085, 0 -0  0, 0 -0  0, 1.85605 -2.67536 -52.1892
0.486,  3.42157 -0.722605  -53.9085, 0 -0  0, 0 -0  0, 1.85605 -2.67536 -52.1892
0.487,  3.42157 -0.722605  -53.9085, 0 -0  0, 0 -0  0, 1.85605 -2.67536 -52.1892
0.494,  3.42157 -0.722605  -53.9085, 0 -0  0, 0 -0  0, 1.85605 -2.67536 -52.1892
0.495,  3.42157 -0.722605  -53.9085, 0 -0  0, 0 -0  0, 1.85605 -2.67536 -52.1892
0.496,  3.42157 -0.722605  -53.9085, 0 -0  0, 0 -0  0, 1.85605 -2.67536 -52.1892
0.5,   1.6696 -0.775125   -50.531,0 0 0,0 0 0, 1.12334 -1.43628 -49.1012
0.501,   1.6696 -0.775125   -50.531,0 0 0,0 0 0, 1.12334 -1.43628 -49.1012
0.502,   1.6696 -0.775125   -50.531,0 0 0,0 0 0, 1.12334 -1.43628 -49.1012
0.503,   1.6696 -0.775125   -50.531,0 0 0,0 0 0, 1.12334 -1.43628 -49.1012
0.504,   1.6696 -0.775125   -50.531,0 0 0,0 0 0, 1.12334 -1.43628 -49.1012
0.513,   1.6696 -0.775125   -50.531,0 0 0,0 0 0, 1.12334 -1.43628 -49.1012
0.514,   1.6696 -0.775125   -50.531,0 0 0,0 0 0, 1.12334 -1.43628 -49.1012
0.515,   1.6696 -0.775125   -50.531,0 0 0,0 0 0, 1.12334 -1.43628 -49.1012
0.517,   1.6696 -0.775125   -50.531,0 0 0,0 0 0, 1.12334 -1.43628 -49.1012
0.518,   1.6696 -0.775125   -50.531,0 0 0,0 0 0, 1.12334 -1.43628 -49.1012
0.519,   1.6696 -0.775125   -50.531,0 0 0,0 0 0, 1.12334 -1.43628 -49.1012
0.52,   1.6696 -0.775125   -50.531,0 0 0,0 0 0, 1.12334 -1.43628 -49.1012
0.522,   1.6696 -0.775125   -50.531,0 0 0,0 0 0, 1.12334 -1.43628 -49.1012
0.534,0.540703 -0.69196 -46.4282,0 0 0,0 0 0, 0.645592 -0.553964  -46.2506
0.536,0.540703 -0.69196 -46.4282,0 0 0,0 0 0, 0.645592 -0.553964  -46.2506
0.537,0.540703 -0.69196 -46.4282,0 0 0,0 0 0, 0.645592 -0.553964  -46.2506
0.544,0.540703 -0.69196 -46.4282,0 0 0,0 0 0, 0.645592 -0.553964  -46.2506
0.546,0.540703 -0.69196 -46.4282,0 0 0,0 0 0, 0.645592 -0.553964  -46.2506
0.548,0.540703 -0.69196 -46.4282,0 0 0,0 0 0, 0.645592 -0.553964  -46.2506
0.55,0.540703 -0.69196 -46.4282,0 0 0,0 0 0, 0.645592 -0.553964  -46.2506
0.552,0.540703 -0.69196 -46.4282,0 0 0,0 0 0, 0.645592 -0.553964  -46.2506
0.554,0.540703 -0.69196 -46.4282,0 0 0,0 0 0, 0.645592 -0.553964  -46.2506
0.556,0.540703 -0.69196 -46.4282,0 0 0,0 0 0, 0.645592 -0.553964  -46.2506
0.559,0.540703 -0.69196 -46.4282,0 0 0,0 0 0, 0.645592 -0.553964  -46.2506
0.561,0.540703 -0.69196 -46.4282,0 0 0,0 0 0, 0.645592 -0.553964  -46.2506
0.564,0.540703 -0.69196 -46.4282,0 0 0,0 0 0, 0.645592 -0.553964  -46.2506
0.568, 0.379342 -0.355832  -42.1664,0 0 0,0 0 0,0.830213 0.194003 -43.2069
0.57, 0.379342 -0.355832  -42.1664,0 0 0,0 0 0,0.830213 0.194003 -43.2069
0.572, 0.379342 -0.355832  -42.1664,0 0 0,0 0 0,0.830213 0.194003 -43.2069
0.573, 0.379342 -0.355832  -42.1664,0 0 0,0 0 0,0.830213 0.194003 -43.2069
0.575, 0.379342 -0.355832  -42.1664,0 0 0,0 0 0,0.830213 0.194003 -43.2069
0.577, 0.379342 -0.355832  -42.1664,0 0 0,0 0 0,0.830213 0.194003 -43.2069
0.579, 0.379342 -0.355832  -42.1664,0 0 0,0 0 0,0.830213 0.194003 -43.2069
0.581, 0.379342 -0.355832  -42.1664,0 0 0,0 0 0,0.830213 0.194003 -43.2069
0.584, 0.379342 -0.355832  -42.1664,0 0 0,0 0 0,0.830213 0.194003 -43.2069
0.585, 0.379342 -0.355832  -42.1664,0 0 0,0 0 0,0.830213 0.194003 -43.2069
0.588, 0.379342 -0.355832  -42.1664,0 0 0,0 0 0,0.830213 0.194003 -43.2069
